interaction_id,user_id,business_id,interaction_type,distance_km,session_duration_s,device_type,timestamp
INT00150,USR0065,BIZ0005,view,4.219,8,android,2026-04-22 00:39:15
INT00151,USR0053,BIZ0078,view,4.734,5,android,2026-02-11 07:38:43
INT00152,USR0192,BIZ0111,review_posted,4.895,101,android,2026-03-15 15:50:46
INT00153,USR0018,BIZ0013,search_click,0.494,23,android,2026-04-26 00:03:07
INT00154,USR0044,BIZ0107,search_click,4.261,16,android,2026-04-22 01:28:23
INT00155,USR0182,BIZ0062,profile_view,4.079,57,android,2026-04-14 08:17:07
INT00156,USR0098,BIZ0056,search_click,0.353,58,ios,2026-02-09 08:15:05
INT00157,USR0029,BIZ0070,search_click,2.395,28,android,2026-02-05 14:53:52
INT00158,USR0127,BIZ0015,view,4.634,14,ios,2026-02-18 13:07:44
INT00159,USR0105,BIZ0038,inquiry_sent,4.553,77,ios,2026-04-23 17:39:34
INT00160,USR0095,BIZ0026,saved_business,0.201,28,ios,2026-03-09 15:26:54
INT00161,USR0169,BIZ0092,view,4.589,27,android,2026-04-05 22:44:08
INT00162,USR0044,BIZ0008,saved_business,4.167,66,android,2026-02-19 04:14:26
INT00163,USR0109,BIZ0097,view,2.651,23,ios,2026-04-07 06:51:24
INT00164,USR0165,BIZ0111,search_click,0.574,35,ios,2026-03-16 05:53:51
INT00165,USR0038,BIZ0099,view,5.422,20,android,2026-03-26 18:31:25
INT00166,USR0035,BIZ0003,profile_view,0.351,157,android,2026-04-26 16:55:08
INT00167,USR0098,BIZ0081,view,4.966,24,android,2026-04-07 15:12:45
INT00168,USR0170,BIZ0097,profile_view,2.492,81,ios,2026-03-29 19:21:49
INT00169,USR0126,BIZ0067,search_click,2.544,44,android,2026-04-24 22:48:58
INT00170,USR0009,BIZ0119,inquiry_sent,4.851,175,ios,2026-04-15 23:27:02
INT00171,USR0114,BIZ0059,view,4.291,29,ios,2026-04-18 20:11:41
INT00172,USR0043,BIZ0064,view,3.943,20,android,2026-03-21 09:58:10
INT00173,USR0126,BIZ0090,profile_view,0.348,151,android,2026-03-15 19:40:55
INT00174,USR0101,BIZ0036,search_click,0.355,53,ios,2026-04-08 04:49:09
INT00175,USR0073,BIZ0044,view,0.808,16,ios,2026-04-12 01:52:39
INT00176,USR0150,BIZ0002,inquiry_sent,5.402,84,ios,2026-03-01 06:45:04
INT00177,USR0092,BIZ0053,view,4.884,12,ios,2026-03-23 13:06:38
INT00178,USR0177,BIZ0008,view,4.512,5,ios,2026-02-01 13:58:40
INT00179,USR0169,BIZ0101,search_click,4.731,27,android,2026-04-01 20:30:45
INT00180,USR0151,BIZ0002,view,5.185,15,android,2026-04-11 23:13:39
INT00181,USR0026,BIZ0094,view,0.57,30,ios,2026-02-13 05:09:25
INT00182,USR0077,BIZ0048,search_click,4.672,60,android,2026-04-14 20:27:51
INT00183,USR0138,BIZ0032,view,0.351,23,ios,2026-04-11 15:11:05
INT00184,USR0160,BIZ0097,view,2.322,8,ios,2026-02-22 19:42:38
INT00185,USR0146,BIZ0099,search_click,5.407,60,android,2026-03-28 20:33:42
INT00186,USR0078,BIZ0067,view,0.489,15,android,2026-03-07 12:09:40
INT00187,USR0065,BIZ0086,search_click,3.977,21,android,2026-03-26 17:23:06
INT00188,USR0133,BIZ0101,search_click,0.242,57,ios,2026-02-22 07:59:02
INT00189,USR0164,BIZ0072,profile_view,3.145,141,android,2026-03-17 05:20:40
INT00190,USR0094,BIZ0059,view,4.526,29,ios,2026-04-15 04:32:45
INT00191,USR0106,BIZ0043,inquiry_sent,0.446,112,ios,2026-02-22 05:49:17
INT00192,USR0074,BIZ0088,view,3.338,17,android,2026-02-08 10:31:44
INT00193,USR0050,BIZ0003,profile_view,0.604,154,ios,2026-03-08 04:48:13
INT00194,USR0010,BIZ0030,view,0.604,30,ios,2026-03-29 11:58:15
INT00195,USR0046,BIZ0088,view,0.796,30,android,2026-02-03 04:44:57
INT00196,USR0022,BIZ0042,view,0.439,18,ios,2026-03-30 16:03:14
INT00197,USR0024,BIZ0051,inquiry_sent,2.614,120,android,2026-03-21 14:32:41
INT00198,USR0129,BIZ0110,search_click,4.801,59,ios,2026-03-14 21:34:36
INT00199,USR0024,BIZ0034,view,0.074,15,ios,2026-04-11 17:51:36
INT00200,USR0191,BIZ0034,search_click,0.459,21,android,2026-04-26 12:16:37
INT00201,USR0113,BIZ0053,inquiry_sent,0.492,196,ios,2026-04-02 04:24:59
INT00202,USR0029,BIZ0043,search_click,2.239,27,android,2026-03-02 21:19:05
INT00203,USR0184,BIZ0048,view,2.068,24,android,2026-04-14 22:49:26
INT00204,USR0170,BIZ0099,view,0.125,26,android,2026-02-20 23:41:07
INT00205,USR0099,BIZ0041,saved_business,4.531,30,android,2026-04-16 09:45:36
INT00206,USR0100,BIZ0002,saved_business,3.976,47,ios,2026-02-06 08:10:59
INT00207,USR0194,BIZ0034,view,4.446,19,ios,2026-04-18 08:53:29
INT00208,USR0197,BIZ0088,profile_view,2.846,50,ios,2026-03-12 14:47:58
INT00209,USR0106,BIZ0110,view,4.841,8,android,2026-04-02 01:57:50
INT00210,USR0130,BIZ0008,search_click,0.436,45,ios,2026-03-11 00:17:15
INT00211,USR0008,BIZ0099,profile_view,4.579,143,android,2026-01-29 11:53:09
INT00212,USR0052,BIZ0087,view,0.399,10,android,2026-03-16 16:35:33
INT00213,USR0197,BIZ0099,profile_view,0.397,135,ios,2026-03-10 20:27:37
INT00214,USR0189,BIZ0018,view,2.332,15,ios,2026-02-16 02:21:21
INT00215,USR0107,BIZ0048,search_click,5.106,46,android,2026-01-31 02:01:45
INT00216,USR0006,BIZ0109,profile_view,0.149,52,ios,2026-02-16 01:29:50
INT00217,USR0180,BIZ0099,view,4.723,24,ios,2026-02-11 15:37:29
INT00218,USR0095,BIZ0024,search_click,4.867,43,ios,2026-04-08 19:41:54
INT00219,USR0117,BIZ0099,search_click,4.989,23,android,2026-04-24 08:42:55
INT00220,USR0069,BIZ0038,search_click,4.692,23,android,2026-04-28 18:53:25
INT00221,USR0073,BIZ0097,view,4.628,30,android,2026-01-31 19:23:32
INT00222,USR0068,BIZ0034,search_click,2.73,47,ios,2026-02-05 22:26:16
INT00223,USR0121,BIZ0018,view,2.787,26,android,2026-04-03 10:02:52
INT00224,USR0182,BIZ0055,search_click,0.59,45,android,2026-02-02 21:48:20
INT00225,USR0061,BIZ0062,search_click,0.13,52,android,2026-01-29 16:49:19
INT00226,USR0130,BIZ0085,view,4.289,16,android,2026-04-26 08:14:50
INT00227,USR0144,BIZ0005,view,0.512,20,ios,2026-04-18 05:29:57
INT00228,USR0034,BIZ0011,profile_view,4.488,96,android,2026-02-26 09:54:17
INT00229,USR0033,BIZ0066,saved_business,2.43,61,ios,2026-02-23 16:21:41
INT00230,USR0068,BIZ0083,profile_view,4.633,110,ios,2026-04-19 13:24:48
INT00231,USR0081,BIZ0097,search_click,0.706,45,ios,2026-02-03 00:12:08
INT00232,USR0039,BIZ0007,view,0.08,10,ios,2026-03-09 11:55:51
INT00233,USR0127,BIZ0005,search_click,0.476,41,ios,2026-03-14 14:05:51
INT00234,USR0185,BIZ0102,view,0.062,14,android,2026-04-14 08:44:32
INT00235,USR0192,BIZ0068,view,0.372,23,android,2026-03-22 17:42:17
INT00236,USR0002,BIZ0070,search_click,0.164,14,android,2026-04-08 08:40:11
INT00237,USR0174,BIZ0012,view,0.417,26,android,2026-03-05 16:38:56
INT00238,USR0152,BIZ0110,view,4.652,5,android,2026-03-11 15:20:45
INT00239,USR0182,BIZ0090,search_click,2.842,48,android,2026-02-27 20:48:16
INT00240,USR0012,BIZ0089,saved_business,0.262,87,android,2026-02-17 05:47:41
INT00241,USR0013,BIZ0099,view,3.148,28,android,2026-03-19 11:05:59
INT00242,USR0155,BIZ0049,search_click,2.735,59,ios,2026-02-06 05:53:20
INT00243,USR0054,BIZ0023,profile_view,0.39,69,android,2026-02-25 02:06:11
INT00244,USR0111,BIZ0097,review_posted,0.651,214,android,2026-03-02 12:46:40
INT00245,USR0025,BIZ0099,search_click,5.064,34,ios,2026-02-22 09:09:28
INT00246,USR0154,BIZ0055,profile_view,0.246,77,ios,2026-03-26 23:31:28
INT00247,USR0024,BIZ0005,view,4.411,12,android,2026-04-22 23:29:03
INT00248,USR0135,BIZ0087,search_click,4.375,37,android,2026-04-20 20:48:39
INT00249,USR0123,BIZ0039,saved_business,2.523,53,android,2026-03-17 07:07:16
INT00250,USR0076,BIZ0076,search_click,3.037,42,android,2026-03-16 04:14:59
INT00251,USR0106,BIZ0012,profile_view,2.693,94,ios,2026-02-21 03:44:25
INT00252,USR0021,BIZ0099,view,5.043,19,android,2026-04-09 23:23:05
INT00253,USR0101,BIZ0005,search_click,4.561,30,ios,2026-04-07 09:07:39
INT00254,USR0116,BIZ0086,view,3.934,30,android,2026-02-17 05:09:00
INT00255,USR0021,BIZ0097,profile_view,4.193,57,ios,2026-03-18 07:29:40
INT00256,USR0002,BIZ0051,view,2.594,19,ios,2026-04-17 09:48:29
INT00257,USR0191,BIZ0081,search_click,2.795,49,ios,2026-04-01 09:04:22
INT00258,USR0177,BIZ0092,inquiry_sent,4.369,94,android,2026-02-15 09:22:29
INT00259,USR0005,BIZ0095,view,4.706,20,android,2026-03-28 16:40:49
INT00260,USR0112,BIZ0099,inquiry_sent,4.59,82,ios,2026-04-08 11:50:24
INT00261,USR0038,BIZ0062,view,0.634,9,ios,2026-04-25 23:11:41
INT00262,USR0121,BIZ0002,search_click,4.751,28,ios,2026-02-02 19:14:03
INT00263,USR0003,BIZ0014,inquiry_sent,0.324,166,ios,2026-04-05 13:19:53
INT00264,USR0153,BIZ0097,saved_business,4.379,66,ios,2026-03-16 10:05:26
INT00265,USR0186,BIZ0083,profile_view,0.802,154,android,2026-04-03 12:06:34
INT00266,USR0136,BIZ0002,search_click,3.964,27,ios,2026-04-19 05:47:09
INT00267,USR0030,BIZ0065,review_posted,0.344,238,ios,2026-01-31 02:11:07
INT00268,USR0074,BIZ0097,search_click,2.546,42,android,2026-03-23 02:35:06
INT00269,USR0176,BIZ0046,profile_view,0.43,149,android,2026-04-18 16:53:48
INT00270,USR0186,BIZ0097,saved_business,4.861,61,ios,2026-04-11 04:42:47
INT00271,USR0042,BIZ0086,view,5.085,26,ios,2026-02-09 20:05:27
INT00272,USR0052,BIZ0022,search_click,2.456,41,ios,2026-02-19 08:14:06
INT00273,USR0143,BIZ0005,view,4.374,16,android,2026-02-13 22:37:34
INT00274,USR0129,BIZ0003,view,0.534,24,android,2026-02-09 01:55:42
INT00275,USR0058,BIZ0063,saved_business,2.988,20,ios,2026-04-19 21:17:18
INT00276,USR0177,BIZ0103,profile_view,2.485,42,ios,2026-04-11 03:03:14
INT00277,USR0194,BIZ0015,view,4.994,30,android,2026-04-13 08:14:25
INT00278,USR0011,BIZ0067,view,4.201,11,ios,2026-02-12 08:25:57
INT00279,USR0075,BIZ0097,profile_view,4.09,55,android,2026-03-28 10:57:47
INT00280,USR0086,BIZ0099,view,5.326,18,android,2026-02-20 07:07:30
INT00281,USR0122,BIZ0046,search_click,2.506,33,ios,2026-03-02 16:13:55
INT00282,USR0171,BIZ0034,profile_view,4.764,88,android,2026-04-11 09:03:45
INT00283,USR0106,BIZ0108,inquiry_sent,2.515,192,ios,2026-04-24 03:43:16
INT00284,USR0114,BIZ0021,view,0.425,7,android,2026-02-28 15:58:41
INT00285,USR0103,BIZ0117,view,4.495,29,android,2026-03-29 15:13:22
INT00286,USR0165,BIZ0021,search_click,0.438,55,ios,2026-03-07 22:56:30
INT00287,USR0175,BIZ0096,inquiry_sent,4.465,140,ios,2026-01-29 22:18:40
INT00288,USR0072,BIZ0107,profile_view,0.477,133,ios,2026-03-28 04:01:18
INT00289,USR0140,BIZ0086,profile_view,3.906,118,ios,2026-04-09 00:06:25
INT00290,USR0078,BIZ0010,search_click,0.359,56,android,2026-03-17 01:27:24
INT00291,USR0139,BIZ0038,view,5.263,21,ios,2026-04-07 08:27:44
INT00292,USR0041,BIZ0002,inquiry_sent,0.333,126,android,2026-04-14 02:51:25
INT00293,USR0078,BIZ0097,saved_business,0.858,22,ios,2026-02-21 14:18:58
INT00294,USR0130,BIZ0047,view,0.13,8,ios,2026-02-25 00:50:18
INT00295,USR0189,BIZ0001,view,0.54,28,android,2026-03-01 17:58:14
INT00296,USR0073,BIZ0091,inquiry_sent,4.627,95,ios,2026-03-16 23:43:20
INT00297,USR0064,BIZ0014,search_click,0.32,59,ios,2026-03-11 02:33:03
INT00298,USR0038,BIZ0097,inquiry_sent,4.801,75,ios,2026-04-19 04:25:20
INT00299,USR0122,BIZ0033,view,0.26,17,ios,2026-04-17 16:47:39
INT00300,USR0150,BIZ0066,search_click,0.365,41,ios,2026-04-13 08:40:33
INT00301,USR0037,BIZ0067,search_click,0.729,55,android,2026-04-01 17:17:56
INT00302,USR0117,BIZ0062,profile_view,0.268,124,android,2026-03-24 08:41:55
INT00303,USR0105,BIZ0014,search_click,3.836,43,android,2026-02-08 19:33:55
INT00304,USR0079,BIZ0119,view,5.056,30,android,2026-02-11 00:15:51
INT00305,USR0151,BIZ0055,review_posted,2.577,132,android,2026-02-14 16:41:20
INT00306,USR0190,BIZ0064,view,3.667,6,ios,2026-03-13 12:35:00
INT00307,USR0080,BIZ0076,review_posted,3.216,181,android,2026-04-07 19:03:25
INT00308,USR0130,BIZ0087,profile_view,4.682,68,ios,2026-02-06 06:09:45
INT00309,USR0160,BIZ0091,search_click,2.288,35,ios,2026-03-18 21:47:25
INT00310,USR0172,BIZ0105,profile_view,2.889,72,android,2026-03-21 16:45:04
INT00311,USR0198,BIZ0097,search_click,0.425,45,android,2026-02-15 12:53:02
INT00312,USR0159,BIZ0072,profile_view,0.676,163,android,2026-04-06 18:26:56
INT00313,USR0129,BIZ0107,view,5.057,10,android,2026-02-22 23:09:41
INT00314,USR0053,BIZ0034,profile_view,4.045,143,android,2026-04-11 20:11:30
INT00315,USR0156,BIZ0044,search_click,0.087,11,ios,2026-03-09 13:11:59
INT00316,USR0107,BIZ0002,search_click,0.448,15,android,2026-04-27 09:34:49
INT00317,USR0139,BIZ0024,view,0.386,7,android,2026-02-25 19:55:04
INT00318,USR0105,BIZ0092,view,4.101,10,android,2026-04-03 09:58:18
INT00319,USR0077,BIZ0049,view,3.558,15,ios,2026-03-04 00:21:02
INT00320,USR0031,BIZ0006,view,4.43,12,ios,2026-03-15 23:51:51
INT00321,USR0130,BIZ0049,view,4.113,19,ios,2026-02-04 02:37:55
INT00322,USR0008,BIZ0053,view,0.456,13,android,2026-02-20 09:17:06
INT00323,USR0143,BIZ0088,view,0.774,19,android,2026-04-15 09:12:09
INT00324,USR0129,BIZ0030,saved_business,0.334,36,android,2026-03-18 14:19:09
INT00325,USR0109,BIZ0113,search_click,5.541,39,ios,2026-03-28 23:50:58
INT00326,USR0043,BIZ0001,review_posted,4.136,213,ios,2026-04-14 18:32:09
INT00327,USR0098,BIZ0120,inquiry_sent,4.967,275,ios,2026-02-02 07:29:21
INT00328,USR0190,BIZ0072,view,4.807,27,android,2026-04-13 23:07:05
